Name,Project,Organization
Ajay Arasanipalai,"Modernize the LLVM ""Building A JIT"" Tutorial Series",The LLVM Compiler Infrastructure
Sidharth Mundhra,Improving Series Expansions,SymPy
Zyad Ali,System V Message Queues,gVisor
Dinesh Chidipothu,Work on Message view events and Authentication issues.,Zulip
Yi FENG,Performance Tracking in CI,Halide
Pranav Bhatt,CoAP protocol endpoint for Drogue IoT,JBoss Community
Mritunjay Sharma,Cloud Native Buildpacks [CNCF] Project: Automatic Buildpack Registry Action Updates,CNCF
Mohamed Soudy-1,Adding Multi-omics data support to ABioTrans Plus,National Resource for Network Biology (NRNB)
Varun Tiwari,ODK-X: Improving Services User-Interface,Digital Impact Alliance (DIAL) at UN Foundation
Mohit Singh,dart-casbin,Casbin
Mark Joseph Kuebel,Catalyst Crosscompiling and Revamp,Gentoo Foundation
Bruno Messias,A system for collaborative visualization of large network layouts using FURY and sockets.io,Python Software Foundation
Midhun Suresh R,Right Sidebar for Hydrogen client,Matrix.org
Priyam Seth,Improving the compose box and the user interface of Zulip web,Zulip
Avinal,New Build System and improving CI/CD workflow,FOSSology
Arvind Ganesh,"Pythia – a framework for modular, scalable time-series forecasting",The Julia Language
Michał Łukomski,MuZero implementation,The Julia Language
Aditi Sawant,Urban Tree Canopy Detection Using Satellite and Aerial Imagery,Mayor's Office of New Urban Mechanics (City of Boston)
Keisuke Nishimura,Examining the Coccinelle’s Handleability of All Function Headers Found in the Linux Kernel,The Linux Foundation
Muhammed Suhail A H,Building checkers/mappings for known package lists,Python Software Foundation
Yu-Shiang Dang,New Rule Generation Technique & Make Quark Everywhere Among Security Open Source Projects,The Honeynet Project
Gaurav Pandey (ligmitz),Proposal for Zulip - GSoC 2021,Zulip
Michail Raptakis,SatNOGS TX capabilities,Libre Space Foundation
Dinesh Sathia Raj,Eye Tracking,INCF
Suraj Kumar-3,Benchmarking and improving Boost.Real,Boost C++ Libraries
Suyash Vardhan Mathur,Enhancing Zulip API Documentation,Zulip
Atharva Arya,Real-Time Simulation Tracking and a Dedicated Logging Framework for TARDIS,TARDIS SN
Ashwin M,DeepChem Retrosynthesis,Open Chemistry
Nived,Improving TensorFlow GAN Library,TensorFlow
Sean Ng,Netlink proposal,FreeBSD Project
Nitik Jain,Project 6.4: Development of Open-Source Biorobotics Framework,INCF
Nitesh Mahawar,Multimodal TV Show Segmentation,Red Hen Lab
Bogdan Grigoruță,Mocking framework for virtio queues,QEMU
Fan Chung,Input method in FreeBSD virtual terminal,FreeBSD Project
Shruti Chaturvedi,CloudEvents Plugin for Jenkins: Consume and Emit CloudEvents,Continuous Delivery Foundation
Xu Wang,NEXT LEVEL AMQP,Ceph
Wenhe Li,Productionize XNNPACK Machine Learning Backend for Chrome OS,Chromium
Debaditya Pal,(Activeloop) Create an interactive onboarding environment for new users of Hub,Python Software Foundation
Milind Thakur,Generate TensorFlow Lite example for Natural Language Processing,TensorFlow
Harjeet Singh,P2P Messaging App,AOSSIE
Dhairya Bahl,Move ETL library code to synfig-core,Synfig
imlk,Porting PRoot to Rust,openSUSE Project
ayush_bansal,Polaris: Produce rich analysis reports,Libre Space Foundation
Naman Lakhwani,"Automated, Granular TLS client support in Thanos",CNCF
Neelaksh Singh,OpenWRT PPA,freifunk
Rudraksh Aggarwal,Revamping the UI,Bench-Routes
Devin Ragotzy,Ruma's Automated Checks,Matrix.org
Ankit Hans,Resolving problems with Apache Kafka examples using Charmil  Framework,JBoss Community
harshadms,Anti-spoofing Techniques for GNSS Receivers,GNSS-SDR
Shikhar Vashistha,Create new matrix and vector types,Boost C++ Libraries
Jackson Campolattaro,SIMD Optimized AABB Tree,CGAL Project
D.J. Servilla,Director Engine,ScummVM
Aaradhya Saxena,TMVA Deep Learning Developments - Inference Code Generation for Batch Normalization,CERN-HSF
Aakash Chaudhary,[Data Retriever]: Support for Login/API,NumFOCUS
naan_dhaan,User friendly lexical training,Apertium
Dhanuka Warusadura.,libsecret: extend file backend to use TPM2 derived encryption keys,GNOME Foundation
Abhinav Krishna C K,First-Class Email Bridge,Matrix.org
Ghulam Ghous,Omnichannel Project: Live Chat Widget - Accessible Mode,Rocket.Chat
YashRaj-2001,Developer Options Menu,Oppia Foundation
Aditya Siddheshwar,Addon Library Development - p5-teach.js,Processing Foundation
Arjun Garg,AsyncAPI Applications Relations Finder,Postman
Rohan Gupta,vcf2fhir for Structural Variants,Global Alliance for Genomics and Health
Muhammad Ehsan ul Haq,Background Estimation with Neural AutoRegressive Flows,Machine Learning for Science (ML4SCI) Umbrella Organization
Kartik_Gupta,Speech-to-Text,Rocket.Chat
Mayur Shende,Automated (AutoML) tool to clean univariate time series at microscales.,The R Project for Statistical Computing
Tanya Prasad,Peer-to-Peer Message Transfer,AOSSIE
Marcos Tidball,Domain Adaptation for Decoding Dark Matter with Strong Gravitational Lensing,Machine Learning for Science (ML4SCI) Umbrella Organization
Divye Nayyar,Go-Style Channels,Chapel
Anshal Shukla,Extending Support for newer versions of Python,coala
Jebastin Nadar,8-bit quantization in DNN Module,OpenCV
Eugene Lyapustin,Equirectangular Projection (ERP) and Cubemap Projection (CMP) conversion,Intel Video and Audio for Linux
Sundeep Chand,User Story - Improvements and new features,Python Software Foundation
Radesh Kumar,Write Frontend Tests,Oppia Foundation
Junduo Dong,pgagroal: Metrics and monitoring,PostgreSQL
Gagan Aryan,Reduce Memory Usage - Radis,openastronomy
Nnamdi,Boston.gov Solar Roof Potential,Mayor's Office of New Urban Mechanics (City of Boston)
Guillem Felis,Crop Doc,Liquid Galaxy project
Aniket Ranjan,Enhancing the admin panel of openPIP,National Resource for Network Biology (NRNB)
Shruti Sridhar,Quality Assurance and Continuous Integration for Applications in Life Sciences and Medicine,Debian
Chirag Kasat,Developing Testing Harness For PGWEB,PostgreSQL
Anis Ismail,End-to-End Deep Learning Regression for Measurements with the CMS Experiment,Machine Learning for Science (ML4SCI) Umbrella Organization
Tanmay Chavan,Implementing an efficient algorithm to find Intersection of Bezier curves,KDE Community
ankiitgupta7,Simulating Multimodal Communication in Vervet Monkeys with Braitenberg Vehicles,Red Hen Lab
Pinku Deb Nath,Build an open-source realtime web video effects app,MediaPipe
Caleb Herbel,Dynamic Partitioning for Interval Joins in Asterix Database,The Apache Software Foundation
Yash Bhambhu,Animating a poor man [PMR-III],CCExtractor Development
Arsh Pratap,Native ROS2 support,ArduPilot
Callum Rollo,erdappy-griddap: Accessing gridded oceanographic data in near real time,Integrated Ocean Observing System (IOOS)
eppisai (Aman Singh),AXIOM Remote: Firmware Improvement And Extension,apertus° Association
satbws,VLC macOS interface redesign,VideoLAN
Amanjot Singh,Open Geometry Viewer(OGV),BRL-CAD
